Date,Time,Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,year,month,day,lon,lat
30/03/1917,NA,Off Northern Germany,Military - German Navy,NA,NA,Schutte-Lanz S-L-9 (airship),NA,NA,23,NULL,NULL,23,NULL,NULL,0,Struck by lightning and crashed into the Baltic Sea.,1917,3,30,11.881203,54.442315
21/08/1917,7:00,Off western Denmark,Military - German Navy,NA,NA,Zeppelin L-23 (airship),NA,NA,18,NULL,NULL,18,NULL,NULL,0,Shot down by British aircraft.,1917,8,21,7.192351,56.058154
3/07/1926,NA,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,NA,Paris - Prague - Budapest,Caudron C-61,F-AFBT,5307,6,4,2,6,4,2,0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.,1926,7,3,18.296339,48.496645
11/11/1926,8:00,"Cape Bojador, Morocco",Grands Express Aeriens,NA,Casablanca -Dakar,Breguet 14,F-AFAX,198,3,3,0,3,3,0,0,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed.",1926,11,11,26.126944,-14.499167
14/04/1931,NA,"Near Letschen, Germany",Deutsche Lufthansa,NA,NA,Messerschmitt M-20,D-1928,442,10,7,3,2,0,2,0,Fuselage failure. Four were seriously injured and both the pilot and radio operator were killed.,1931,4,14,14.333443,52.642618
24/07/1931,NA,"Kurudjevo, Bulgaria",CIDNA,NA,Constantinople - Budapest,Fokker F-VII,F-ALGT,18,7,5,2,7,5,2,0,The aircraft caught fire in mid air and crashed.,1931,7,24,NA,NA
26/12/1932,NA,"Wau, Australia",Guinea Airways,NA,NA,De Havilland DH-60,VH-UMJ,1372,1,0,1,1,0,1,0,The pilot lost control and crashed after attempting an aerobatic maneuver.,1932,12,26,NA,NA
26/02/1934,NA,"Rio de Oro, Morocco",Air France,NA,NA,Latécoère 28,F-AJPA,925,6,NULL,NULL,1,NULL,NULL,0,NA,1934,2,26,NA,NA
2/11/1934,NA,"Kiapit, Australia",Holdens Air Transport Service,NA,Rabaul - Kaiapit,De Havilland DH-61,VH-UHW,330,4,2,2,2,2,0,0,"On final approach to Kaiapit, the aircraft was too low and hit a house short of runway and caught fir. The aircraft was named ""Canberra.""",1934,11,2,NA,NA
29/03/1935,NA,"Off Samland, Germany",Deutsche Lufthansa,NA,Training,Junkers F-13,D-OHIL,NA,5,0,5,5,0,5,0,"The crew,(3 student pilots and 2 instructors were performing a training flight over Baltic Sea when the  aircraft crashed into the sea for reasons unknown.",1935,3,29,NA,NA
5/03/1936,NA,"Near Tengya, China",China National Aviation Corporation,NA,NA,Ford 5-AT-D Tri-Motor,NA,NA,6,3,3,0,0,0,0,Crash landed in mountains during a snowstorm.,1936,3,5,NA,NA
26/03/1937,NA,"Wetnum, Germany",Deutsche Lufthansa,NA,NA,Junkers JU-52/3m,D-UPOZ,4207,6,4,2,0,0,0,0,Engine failure led to a crash landing in a field.,1937,3,26,NA,NA
24/08/1938,8:00,"Wangmoon, China",China National Aviation Corporation,NA,Hong Kong - Chungking,Douglas DC-2,32,1369,17,13,4,14,12,2,0,"While en route from Hong Kong to Chungking, the aircraft was shot down by Japanese military fighters. The aircraft was named Kweilin. The plane was rebuilt to fly again only to be shot down again by Japanese military.",1938,8,24,NA,NA
20/01/1941,NA,"Near Kian, China",China National Aviation Corporation,NA,NA,Ford 5-AT Tri-Motor,23,5-AT-101,6,1,5,5,1,4,0,Crashed into a mountain during a thunderstorm and reduced visibility.,1941,1,20,NA,NA
1/09/1941,13:40,"Bollemont, France",Air France,NA,Marseille - Toulouse,Bloch 220,F-AQNL,12,17,14,3,15,12,3,0,The aircraft crashed into lake Bolomon after engine failure during takeoff in windy conditions.,1941,9,1,NA,NA
1/06/1943,11:00,Off the coast of France,British Overseas Airways,777,Lisbon - Bristol,Douglas DC-3,G-AGBB,1590,17,13,4,17,13,4,0,"Shot down by the German Air Force over the Bay of Biscay. The last message received from the plane was it was being attacked by an enemy aircraft. The aircraft had a Dutch crew. British actor Leslie Howard, 42, killed. It has been speculated that the plane was attacked because the Germans believed that British Prime Minister Winston Churchill was aboard. Other theories suggest the plane was targeted because several passengers, including Howard, were British spies.",1943,6,1,NA,NA
11/08/1943,NA,"Fort Hertz, China",China National Aviation Corporation,NA,NA,Douglas C-53,48,NA,3,0,3,3,0,3,0,The cargo plane was shot down by Japanese fighters.,1943,8,11,NA,NA
23/07/1944,NA,"Nineteen miles W of Kokoda, Papua New Guinea",Military - US Navy,NA,"Cairns or Mareeba, Australia - Los Negros Island",R4D-5,39090,13859,17,15,2,17,15,2,0,"The plane disappeared on a flight from Australia to Los Negros Island. Last known position transmitted by radio placed the aircraft due south of Port Moresby at 11-degrees South, about 60-minutes flying time. Hit the slope of a mountain in the Owen Stanley range. Wreckage finally found in 1970. Other sources report the accident happened in the region of Cairns.",1944,7,23,NA,NA
30/11/1944,NA,"Dinjan, China",China National Aviation Corporation,NA,NA,Douglas C-47,56,NA,3,0,3,3,0,3,0,The cargo plane flew into Digboi Mountain after losing both engines.,1944,11,30,NA,NA
30/10/1945,19:15,"Chihchiang, China",Military - U.S. Army Air Forces,NA,Zhijiang - Shanghai,Curtiss-Wright C-46A-CK,43-47228,299,50,46,4,45,44,1,0,Crashed and burned on takeoff striking a hill.  Possible engine failure or overloading.,1945,10,30,NA,NA
11/11/1945,23:45,"Near Castel, Libya",Military -Royal Air Force,NA,NA,Short Stirling,PJ950,NA,29,22,7,29,22,7,0,"While taking off the aircraft experienced an engine fire, stalled and crashed and burned.",1945,11,11,NA,NA
30/04/1946,NA,"Pindi-Khut ,India",Military - Royal Air Force,NA,NA,Douglas C-47A,FZ559,12094,12,NULL,NULL,12,NULL,NULL,0,Broke up in midair and crashed.,1946,4,30,NA,NA
29/06/1946,NA,Off Malaya,Military - Royal Air Force,NA,NA,Douglas C-47B,KJ918,14641/26086,18,NULL,NULL,18,NULL,NULL,0,Disappeared.,1946,6,29,NA,NA
20/07/1946,12:15,Off the Panama coast,Military -  (2) U.S. Army Air Forces,NA,NA,Boeing B-17G / Boeing B-17G,4485624/4485626,NA,20,NULL,NULL,20,NULL,NULL,0,"The two aircraft collided in midair, 20 miles north of the Panamanian island of Coiba while searching for a missing plane. Ten died aboard each aircraft.",1946,7,20,NA,NA
20/09/1946,NA,"Lochi Mountain, China",China National Aviation Corporation,NA,"Sichang - Kunming, Yunnan",Curtiss Wright C-46,NA,NA,28,25,3,28,25,3,0,"Crashed into a 15,000 ft. mountain shortly after taking off from Sichang.",1946,9,20,NA,NA
23/10/1946,NA,"Gebel Kalamoun, Egypt",Socotra,NA,Paris - Cairo,Junkers JU-52/3m,F-BCHD,AAC311,24,22,2,1,1,0,0,The plane crashed into a hill after attempting to make a forced landing after running out of fuel.,1946,10,23,NA,NA
28/01/1947,12:00,"Near Hankow, China",China National Aviation Corporation,NA,Shanghai - Hankow - Chungking,Curtiss C-46,NA,NA,26,24,2,25,23,2,0,Crashed while en route about 30 minutes after takeoff. A four-year-old boy survived. Fire in the left wing leading to separation of the wing.,1947,1,28,NA,NA
5/03/1947,9:53,"Near Georgia, USSR",Aeroflot,NA,Tbilisi - Moscow - Vnoukovo,Doublas C-47,CCCP-L952,14874/26319,23,19,4,23,19,4,0,"Crashed in the Cacasus mountains,Nizhnesvanetsky Range, while en route. Pilot error. Pilot in command changed the route of flight",1947,3,5,NA,NA
16/07/1947,22:40,"Az-Zubair, Iran",British Overseas Airways,NA,Cairo - Basrah,Avro 685 York,G-AGMR,1219,6,0,6,6,0,6,0,"During a fourth landing attempt the plane touched down, power was applied but the plane crashed in a wooded area beyond the runway. An error on the part of the pilot in continuing the flight in unsuitable weather conditions coupled with lack of cooperation by the ATC.",1947,7,16,NA,NA
21/11/1947,18:00,"Phouznicie, Romania",TARS,NA,Bucurest - Prague,Lisunov Li-2,YR-TAI,18423509,26,21,5,13,8,5,0,"Crashed and burned on 2,000 ft. Tabor Peak in fog. The crew became lost after radio failure.",1947,11,21,NA,NA
27/11/1947,4:20,"Montenegrin Mountains, Yugoslavia",JAT Yugoslav Airlines,NA,Zagreb - Titograd,Lisunov LI-2,YU-BAD,184 270 09,22,19,3,22,19,3,0,The aircraft crashed and burned 2 miles from Titograd airport while attempting to land in a snowstorm.,1947,11,27,NA,NA
11/01/1948,NA,"Ciudad Havajillo, Dominican Republic",Dominicana,NA,Santa Cruz de Barahona - Santiago de los Caballeros,Douglas DC-3,HI-6,4735,32,29,3,32,29,3,0,Crashed in mountainous terrain about 15 miles north northwest of Santo Domingo. Unable to land in darkness and unlighted airport of its intended destination the plane turned back when it struck the mountain. Weather and navigational error were considered factors in the accident.,1948,1,11,NA,NA
13/03/1948,NA,"Sierra Cristais, Brazil",Cruzeiro,NA,NA,Douglas DC-3,PP-CBX,11658,6,3,3,6,3,3,0,Struck a mountain peak in the Sierra Cristais.,1948,3,13,NA,NA
13/05/1948,11:00,"Near Magazini, Belgian Congo (Zaire)",Sabena,NA,Leopoldville - Libenga,Douglas DC-4-1009,OO-CBE,42932,32,25,7,31,24,7,0,"While cruising, the aircraft penetrated a very turbulent line of clouds, lost height and crashed into a forest. The aircraft apparently flew into a tornado at low altitude.",1948,5,13,NA,NA
25/10/1948,14:00,"Georgian SSR, USSR",Aerflot,NA,Krasnodar - Karachayevsk - Sukhumi - Tbilisi,Lisunov Li-2,CCCP-L4500,1401,18,14,4,18,14,4,0,Crashed in the Caucasus Mountains in adverse weather while en route. The crew deviated from its prescribed course. Poor flight planning. Crew drank alcohol before the flight.,1948,10,25,NA,NA
5/12/1948,NA,"Kiangwan, China",Central Air Transport,NA,Chengdu - Shanghai,Curtiss C-46,XT-538,NA,40,37,3,9,7,2,0,"Overshot runway, crashed and burned.",1948,12,5,NA,NA
21/07/1949,11:35,"Marga, Russia",Aeroflot,5,Krasnoyarsk - Irkutsk,Ilyushin IL-12,L1714,83012811,14,8,6,13,8,5,0,The plane crashed after the left engine caught fire.,1949,7,21,NA,NA
1/12/1949,19:00,"Taquaracucu, Brazil",REAL,NA,"Sao Palo, Brazil - Jacarezinho, Panama",Douglas DC-3 (C-47-DL),PP-YPM,4241,22,18,4,20,16,4,0,Crashed into a mountainside while circling to land. Crew error. Lack of flight discipline.  Poor decision by Chief of Operations in allowing the aircraft to continue flight in poor weather conditions.,1949,12,1,NA,NA
12/03/1950,14:50,"Llandow Airport, Cardiff, Wales",Fairflight Ltd.,NA,Llandow - Dublin,Avro 689 Tudor 5,G-AKBY,1417,83,78,5,80,75,5,0,"During the approach to Runway 28 at Llandow Airport, it appeared to witnesses that the aircraft was going to touch down prematurely. This was followed by an application of power. Climbing to 300 ft. the aircraft stalled and crashed into a field. Due to the placement of luggage in relation to passenger load, the center of gravity was such that there was insufficient elevator control remaining to counteract the rise of the nose upon full application of power.",1950,3,12,NA,NA
29/07/1950,NA,"Tunbukta, Algeria",Cie Air Transport,NA,Algiers - Gao,Bristol 170 Freighter 21,F-BENF,12738,26,22,4,26,22,4,0,An explosion in the left wing fuel tank tore off the upper wing surface leading to loss of control of the aircraft.,1950,7,29,NA,NA
25/11/1950,NA,"Khitka, Bhutan",Indamer,NA,NA,Douglas C-47A,VT-COI,14037/25482,3,0,3,3,0,3,0,Failure of the pilots to remain alert and maintain a proper look out resulting in the aircraft flying into the side of a hill.,1950,11,25,NA,NA
8/12/1950,NA,"Ruig Piner, France",Air Atlas,NA,Casablanca - Perpignan,Douglas DC-3,F-BAXY,16100/32848,7,4,3,5,2,3,0,Flew into a mountain in the Pyrenees.,1950,12,8,NA,NA
28/01/1951,8:40,"Near An tung, Taiwan",Military -Royal Air Force,NA,Hong Kong - Iwakuni,Short Sunderland 9 (flying boat),PP107,NA,14,7,7,14,7,7,0,Crashed into mountainous terrain while en route. Most likely weather related.,1951,1,28,NA,NA
20/07/1951,NA,"Thudamot, China",Air Outre-Mer,NA,Pakse - Saigon,Douglas C-47A,F-OABX,19634,3,0,3,3,0,3,0,The cargo plane crashed in a field while attempting to land..,1951,7,20,NA,NA
13/12/1951,NA,"Yaramunda, Papua, New Guinea",Qantas,NA,Mount Hagen - Madang,de Havilland DH-84 Dragon,VH-UR,NA,3,2,1,3,2,1,0,"While flying in a narrow valley, the pilot elected to gain height when the aircraft hit trees and crashed in flames. Pilot error.",1951,12,13,NA,NA
6/12/1952,4:40,"Off Bermuda-Kindley Field, Bermuda",Cubana de Aviacion,NA,Madrid - Azores - Bermuda - Havana,Douglas DC-4,CU-T397,10319,41,33,8,37,30,7,0,"Crashed dived into the sea approximately 5 miles from the airport shortly after taking off. Cause unknown. The plane was called ""The Star of the East.""",1952,12,6,NA,NA
27/05/1953,3:50,"Goose Wade, Russia",Aeroflot,18,Krasnoyarsk - Novosibirsk,Li-2 / Li-2T,CCCP-L4534,18429005,20,16,11,20,16,11,0,Midair collision. Crew did not follow the prescribed route. Inadequate preparation for flight. Tweny killed on the Li-2 and seven crew on the Li-2T,1953,5,27,NA,NA
16/06/1953,NA,"Mount Phou-Lassy, French Indo-China",Aigle Azur,NA,Vientiane - Saigon,Douglas DC-3,F-BEST,19100,34,31,3,34,31,3,0,Crashed after on-board fire.  Possibly shot down.,1953,6,16,NA,NA
21/12/1953,NA,"Dah-el-Kadeeb, Syria",Syrian Airways,NA,NA,Douglas DC-3,YK-AAF,TDB,15,NULL,NULL,9,NULL,NULL,0,NA,1953,12,21,NA,NA
3/04/1954,13:40,"Kabassaak, Turkey",Devlet Hava Yollari,NA,Adana - Istanbul,Douglas DC-3,TC-ARK,19509,25,20,5,25,20,5,0,"Exploded in midair about 25 miles from Adana, 15 minutes after takeoff from Adana.",1954,4,3,NA,NA
22/09/1955,0:23,"Idris, Libya",British Overseas Airways,NA,Rome - Tripoli,Canadair C-4 Argonaut,G-ALHL,158,47,40,7,15,13,2,0,"Crash landed in a sandstorm on the fourth landing attempt.  The plane came in too low, struck a line of trees and crashed 1,200 yards short of the runway.  Pilot error.  In an error in judgement, the captain who allowed his desire to keep the runway lights in view failed to make adequate reference to his flight instruments.",1955,9,22,NA,NA
17/11/1956,16:45,"El Rucio Mountain, Colombia",Empresa Aviacion del Pacifico,NA,Buenaventura - Cali,Douglas DC-3,HK-385,1971,36,33,3,36,33,3,0,"Hit El Rucio Mountain at 6,200 ft. which was obscured by clouds. Lack of cockpit discipline. Flight on instruments at an excessively low altitude for the route.",1956,11,17,NA,NA
22/12/1956,18:20,"Mt. Giner, Italy",Linee Aeree Italiane,NA,Rome - Milan,Douglas DC-3,I-LINC,9101,21,17,4,21,17,4,0,The aircraft strayed off the assigned airway and hit a mountain. The pilot did not follow the airways assigned in the flight plan. He did not check his direction and position along the new route. Pilot error.,1956,12,22,NA,NA
9/03/1957,10:00,"El Soldado, Colombia",AVIANCA,NA,Condoto - Buenaventura - Cali,Douglas DC-3,HK-155,4338,15,12,3,15,12,3,0,Crashed into mountains  located 32 km west of Tuluá while en route. Pilot did not follow prescribed route nor follow prescribed IFR procedures.,1957,3,9,NA,NA
17/04/1957,8:30,"Near El Quweira, Jordan",Military -Royal Air Force,NA,"Aqaba AFB - Habbaniya, Iraq",Vickers Valetta C-Mk.1,VW832,393,24,21,3,24,21,3,0,Crashed and burned 5 minutes after taking off from Aqaba. The aircraft lost it's left wing after encountering clear air turbulence.,1957,4,17,NA,NA
1/10/1957,18:55,"Akshi, Russia",Aeroflot,11,Irkutsk - Chita,Ilyushin IL-12,CCCP-L1389,30 123,27,22,5,27,22,5,0,"While cruising by night, the crew lost his orientation and requested ATC assistance, without success. The airplane deviated from the prescribed flight path to the south and due to fuel exhaustion, the crew was forced to make an emergency landing. Following three unsuccessful attempts, the captain elected a fourth landing attempt when, at an altitude of 900 meters, the airplane clip trees, continued for about 340 meters and eventually crashed in a dense wooded area.",1957,10,1,NA,NA
12/08/1958,NA,"Sakiya Saugye, Japan",All Nippon Airways,NA,Tokyo - Nagoya,Douglas DC-3,JA5045,7336,33,30,3,33,30,3,0,Ditched into the sea near Izu Island appoximately 1 hour after taking off after experiencing engine trouble.,1958,8,12,NA,NA
23/06/1959,19:30,"Cerros Baco, Peru",AVIANCA,NA,Bogota - Lima,Douglas DC-4,HK-135,10418,14,10,4,14,10,4,0,Crashed  into the slope of Cerro Baco located about 12 km northwest of Huaricanga.,1959,6,23,NA,NA
30/06/1959,10:35,"Ishikawa City, Ryukyu Island, Okinawa",Military - U.S. Air Force,NA,NA,North American F-100D-25NA,55-3633A,NA,1,0,1,0,0,0,17,"The pilot ejected and parachuted safely from the aircraft after the engine caught fire and the aircraft became uncontrollable. The plane crashed into the Miyamori Primary School compound and the surrounding neighborhood killing 17, of which 11 were students, and injuring another 181.  Because of the subsequent fire in the aftermath of the crash another 158 persons (28 families) were made homeless.",1959,6,30,NA,NA
31/12/1961,17:58,"Near Mineral Waters, Russia",Aeroflot,NA,Tbilisi - Mineral Waters,Ilyushin IL-18B,CCCP-75757,181003202,119,110,9,32,30,2,0,The plane crashed about 3 km southwest of the airport on a second attempt to land at Mineral Waters. Inattention of the crew due to unnecessary interactions among the crew.,1961,12,31,NA,NA
27/01/1962,18:17,"Batataevka, USSR",Aeroflot,NA,Training,Antonov AN-10A,CCCP-11148,9400801,14,0,14,13,0,13,0,"Crashed on take off due to engine failure. The No..4 propeller did not feather and the airplane banked to the right, lost speed and crashed.",1962,1,27,NA,NA
24/05/1962,18:53,"Bitter, Russia",Aeroflot,56,Bitter - Moscow,Li-2,CCCP-54997,23443509,21,17,4,20,16,4,0,The plane lost an engine on take off and crashed 7 km southeast of the Airport.,1962,5,24,NA,NA
16/07/1962,NA,"Near Loheshyphn, India",Kalinga Airlines,NA,Jorhat - Jorhat,Douglas C-47,VT-DFZ,4647,9,6,3,9,6,3,0,"En route, he encountered poor weather conditions and the airplane entered a narrow valley in low visibility. The pilot realized the situation and attempted a sharp turn to return when the airplane stalled, struck the ground and crashed..",1962,7,16,NA,NA
14/01/1963,8:41,"Tazovskoye, Russia",Aeroflot,NA,Tazovskoye - Salekhard,Lisunov LI-2,CCCP-71186,184 293 09,25,21,4,12,8,4,0,"After the takeoff roll, the pilot pulled up and started the rotation when the aircraft banked right and crashed. The flight was dispatched despite the fact that the visibility and weather conditions were below minima at the time of the accident.",1963,1,14,NA,NA
15/03/1963,5:40,"Near Karai, Iran",Middle East Airlines,NA,Tehran - Beirut,Avro 685 York C1,OD-ACZ,1218,4,0,4,4,0,4,0,The cargo plane crashed after experiencing engine trouble.,1963,3,15,NA,NA
12/05/1963,NA,"Near Ayayda, Egypt",United Arab Airlines,NA,Cairo - Alexandria,Douglas DC-3,SU-AJX,NA,34,30,4,34,30,4,0,Crashed into an orange grove while climbing in a sand storm.,1963,5,12,NA,NA
10/06/1963,NA,"Mt. Kaolokung, Burma",Union of Burma Airways,NA,Rangoon - Putao,Douglas DC-3,XY-ACS,9877,20,15,5,20,15,5,0,Crashed  into Mt. Kaolokung while attempting to land.,1963,6,10,NA,NA
16/06/1963,NA,"Bekkessamson, Hungary",Tarom,NA,Munchen - Constanta,VEB 14P,YR-ILL,14803072,31,27,4,31,27,4,0,Crashed between Totkomlos Bekessamson while en route.,1963,6,16,NA,NA
3/07/1963,9:09,"Mt. Ngatamahinerua, New Zealand",New Zealand National Airways,441,Auckland - Whenuapai - Tauranga,Douglas DC-3,ZK-AYZ,15204/26889,23,20,3,23,20,3,0,"Crashed  while on a descent to Tauranga the aircraft experienced heavy rain, turbulence and extreme downdrafts on the lee side of a mountain. The plane crashed into the Kaimai Range at 2,460 ft., just 300 feet below the nearest summit. Premature descent by the pilot-in-command. Misleading forcast. Lack of DME equipment at the airport.",1963,7,3,NA,NA
4/09/1964,19:00,"Near Vaong Nong, Thailand",Military - Royal Thai Air Force,NA,Khoke Kathiam - Vaong Nong,Douglas C-47,NA,NA,34,NULL,NULL,28,NULL,NULL,0,Struck a tree and crashed during a nighttime landing attempt.,1964,9,4,NA,NA
13/02/1965,10:22,"Near Shirinbulak, Azerbaijan",Aeroflot,A-3,Yevlakh - Nuha,Ilyushin IL-14P,CCCP-52003,602112,23,19,4,23,19,4,0,Crashed. Crew error. Premature descent.,1965,2,13,NA,NA
